zh_question,top_1,top_1_sim,top_2,top_2_sim,top_3,top_3_sim,top_4,top_4_sim,top_5,top_5_sim,gpt_pick,gpt_sim
66186766,nuny7g,0.6055,tiuzml,0.5884,dgfgf8,0.588,uaaedn,0.581,f2l9d4,0.578,tiuzml,True
371296010,en7dvb,0.6416,dih707,0.6147,bq91fr,0.5645,k05r3o,0.561,gc8th4,0.561,en7dvb,True
498819912,xkfcqe,0.5967,cqifdf,0.576,m4ll2e,0.57,sd2vi9,0.5522,oxwii1,0.5513,xkfcqe,True
26787893,clgw93,0.657,dcazr1,0.6455,heah7z,0.6445,ghyhph,0.6445,csd19l,0.6367,heah7z,True
19997025,gqezq4,0.6533,cnj1v5,0.646,kcrl4q,0.639,jdxbqd,0.6357,hm5wg2,0.635,gqezq4,True
314501362,jofv7u,0.6626,mssio7,0.6455,czuw7n,0.6445,i2mr1t,0.6426,e82u7f,0.6406,i2mr1t,True
293241756,gevzkr,0.5923,p9inzq,0.5923,dbx9wj,0.5854,p76grq,0.5747,xpx023,0.5747,gevzkr,True
327767136,f4eq8q,0.602,do95xw,0.596,wc1tip,0.592,vjv0o7,0.5894,mo2ofg,0.577,vjv0o7,True
19962836,bquzrl,0.696,kyr2t7,0.6655,rqjm30,0.665,fdlba6,0.6567,lr7m82,0.6553,bquzrl,True
371380889,olyjsh,0.6323,ooqhmk,0.604,bpyxcr,0.5615,ddz912,0.557,y1rffu,0.555,olyjsh,True
454529413,ka9rjt,0.669,h89wrc,0.6455,edhdua,0.645,dia4ef,0.63,en96xj,0.618,edhdua,True
34843371,uhjw79,0.663,bwv98k,0.647,prx97v,0.623,e7wghl,0.599,ssaqqv,0.599,ssaqqv,True
523013180,ond2a8,0.537,mzypbr,0.5312,hc8c8c,0.5312,l821p1,0.5176,clxp3e,0.5156,ond2a8,True
26444778,ve0a8s,0.611,o1q7tl,0.611,h0hiv1,0.6025,dpmzq8,0.5986,cwgi4w,0.592,cwgi4w,True
340728394,u18h81,0.4695,p0z4rf,0.4656,eg10cw,0.4622,gqc9ep,0.4492,ktlf4a,0.4453,ktlf4a,True
19622041,ui6tcg,0.605,127xz13,0.587,dzanuv,0.577,c5hdbz,0.5625,rhhiaf,0.5596,dzanuv,True
392883291,rmcmom,0.6587,jsywqy,0.6523,ooqhmk,0.629,fxiuqr,0.627,ui6tcg,0.624,fxiuqr,True
19609259,efmt3l,0.643,sumj6m,0.6396,r4dk15,0.61,o0qacv,0.5947,puoc48,0.594,sumj6m,True
573996190,o7u12e,0.5938,quwhbl,0.5786,dj10t4,0.5767,s80rzo,0.5757,cob74r,0.574,o7u12e,True
430264669,11466sp,0.6753,lkz7mz,0.6357,ctrcqm,0.615,vj1qmo,0.6,get9xf,0.5947,11466sp,True
423458090,ovfm03,0.5938,wa403j,0.5884,n3vaki,0.585,v89901,0.577,hvckuj,0.5737,ovfm03,True
583753946,gxlgqs,0.68,hk3984,0.5806,g5c8ow,0.575,gzt9ig,0.5693,11u3cfh,0.5684,gxlgqs,True
477909242,j5fw1p,0.5527,d1yjqk,0.531,luy4wc,0.5273,erpsyw,0.527,s6vonv,0.5234,s6vonv,True
21114503,u66ujo,0.6465,ec2r1x,0.645,c1n3yx,0.6074,qiit67,0.588,ca9xdh,0.5864,qiit67,True
66406672,f65b3b,0.5684,f21m9c,0.5415,en1y5q,0.5317,xoquel,0.5312,v7uss9,0.53,f21m9c,True
318749103,df21bl,0.6084,wm2oox,0.578,yfbkl0,0.5566,uhjw79,0.545,c5efgk,0.5376,wm2oox,True
523585077,d8jef9,0.5674,e4trrd,0.5664,fkc1ol,0.5425,onivkb,0.5415,nl5qak,0.527,e4trrd,True
19587685,fu0tku,0.648,hm8ho3,0.6445,gfr9dy,0.6387,dmpm2e,0.626,mm2cnn,0.6216,fu0tku,True
466417334,mejbb2,0.6426,bnez12,0.6353,cuvd2s,0.632,qsyjcf,0.6304,fet3tu,0.627,mejbb2,True
37493292,ea8wne,0.6567,cdk0aa,0.6445,ebzxhr,0.6074,gqr958,0.606,pt3mfi,0.5996,cdk0aa,True
29064753,en96xj,0.6445,n66k16,0.616,m3s3qi,0.6133,vqtz9s,0.6123,hf6h63,0.606,en96xj,True
492997580,dxgwaf,0.654,gw9a6n,0.6465,ffjsp1,0.6313,nrwdwx,0.627,hgotx3,0.625,ffjsp1,True
571525301,bpdrps,0.638,c5hdbz,0.616,11xcv61,0.61,xtwbzg,0.6084,qz2vd5,0.608,bpdrps,True
63446372,f9mhha,0.6895,uypjie,0.6694,f06kkr,0.6,101pqpn,0.595,ibwaet,0.589,uypjie,True
25867086,zipuq8,0.6704,q8hatz,0.618,w0wuuc,0.611,of43gj,0.601,rmcmom,0.5903,zipuq8,True
35231882,jcw63m,0.6064,dcu6hs,0.59,ehidu3,0.582,kyzf32,0.5576,m713y4,0.5566,jcw63m,True
50839962,dw0hr0,0.701,cjk438,0.6636,kvdq6c,0.6636,cczccy,0.6597,ck2ghq,0.656,kvdq6c,True
548276794,ewt6rr,0.597,dih707,0.5894,f06n2l,0.5796,x5pnpm,0.5767,g4mr8p,0.5703,x5pnpm,True
21682442,f5b44k,0.674,z8ai5x,0.663,hdhayw,0.661,f6k6lt,0.65,laffpu,0.6445,f5b44k,True
351503476,br426u,0.693,opu876,0.669,ovbtzz,0.6685,g585l4,0.6626,lswntc,0.653,ovbtzz,True
383554737,hu3rrl,0.6543,frlru6,0.6484,ftl2ud,0.611,fzoe5e,0.6064,t389ms,0.604,fzoe5e,True
21037459,jutduc,0.6143,c8qd5f,0.6113,g1pqkr,0.5723,szfwt0,0.5723,wq56ha,0.5703,c8qd5f,True
20078304,d7gj49,0.683,w3hsu9,0.648,f3l33r,0.647,es1pnk,0.6235,fylmqt,0.6113,es1pnk,True
448212314,hm8ho3,0.714,dmpm2e,0.6675,fvmjza,0.6606,gtv931,0.6357,cggmn5,0.628,hm8ho3,True
583862574,n4bm87,0.596,oy2866,0.5835,ykpl1e,0.573,dlvuzn,0.5635,mzypbr,0.552,ykpl1e,True
22835784,epq8yg,0.599,ee4hsh,0.575,dlvuzn,0.5747,j4lpep,0.5737,iadrem,0.5674,j4lpep,True
378196318,epq8yg,0.7173,bnoq15,0.6494,vnfa4k,0.642,lkv4so,0.6357,fiw1ax,0.6357,epq8yg,True
293937630,f9mhha,0.7266,hl216a,0.622,irugt4,0.622,ibwaet,0.617,101pqpn,0.61,ibwaet,True
57943484,qfw8gp,0.552,p4f4zx,0.5405,cw55jk,0.5234,v2z33u,0.522,dbu4j1,0.509,v2z33u,True
336804853,eirnvt,0.666,105jfyb,0.63,yqs1m9,0.594,fb4a4s,0.5815,g1cqp8,0.578,105jfyb,True
423924481,hfz4c4,0.524,fain7m,0.517,vdpleo,0.516,ct6on5,0.5107,brgl2b,0.51,fain7m,True
22968875,fas8m9,0.642,11g8o03,0.6313,g08gay,0.605,g33mcz,0.605,d0ggcy,0.5938,fas8m9,True
278088592,g33mcz,0.726,hl216a,0.704,1268y91,0.667,kfopmy,0.657,xp76vr,0.651,1268y91,True
34419785,wy0sl4,0.57,df21bl,0.563,fik41n,0.557,yfbkl0,0.542,c5efgk,0.538,fik41n,True
496242505,ramxix,0.4963,jhf3qm,0.4885,nr5bdk,0.488,hrlxo1,0.4856,djp9ny,0.4832,hrlxo1,True
22039951,gf3l6s,0.6074,dcc8tv,0.5586,fk1xil,0.5547,tslmq2,0.549,co92i3,0.5483,fk1xil,True
339753580,jutduc,0.6724,fw1k3w,0.6304,g1pqkr,0.6294,tslkj7,0.6235,hpby1m,0.6235,fw1k3w,True
36532888,te4htl,0.6177,kn99pt,0.6025,ceyt2m,0.602,n42g04,0.5923,cv3fbb,0.589,n42g04,True
355354021,hb4vgn,0.6685,pwbq7j,0.551,cr58op,0.5234,bjxhp8,0.523,czkg8e,0.5156,hb4vgn,True
559664364,n8808y,0.631,j7npaa,0.6245,bt2m44,0.5986,e5mjc2,0.583,e2khw3,0.566,n8808y,True
19850186,gz8fsf,0.654,g5vu1i,0.636,ebzxhr,0.6343,gmtdui,0.626,wtgeia,0.624,ebzxhr,True
270405246,gtjszy,0.6455,iv8y9s,0.624,l6ongj,0.614,l87qou,0.6016,ntght6,0.598,l87qou,True
345473425,vrklj2,0.659,zcnqd0,0.6533,fnpvgh,0.6406,heskhr,0.637,of43gj,0.6357,zcnqd0,True
28575255,g33mcz,0.6475,w7xm53,0.6406,iiqm8n,0.6313,exa9a1,0.621,hl216a,0.61,exa9a1,True
65349311,qsl4n8,0.611,elgha7,0.572,wtgeia,0.5674,eh1r9m,0.5596,bw13nh,0.54,elgha7,True
60134579,od4diw,0.546,lcjvbh,0.541,u8p1cx,0.5337,d3f5ez,0.5293,11fhih0,0.5273,u8p1cx,True
28707820,ttw6na,0.6904,jkricl,0.6597,cp0c35,0.6343,bse157,0.626,czpv1t,0.6206,bse157,True
376745271,ftl2ud,0.7764,csrovt,0.559,q15g6r,0.552,defjio,0.55,dougeu,0.539,ftl2ud,True
315995313,cagl7w,0.6787,ca5gao,0.6577,fckdya,0.65,ddarbz,0.6235,ewtgrt,0.6104,ca5gao,True
24562309,xplct5,0.646,126ic96,0.643,sul263,0.6377,vtn2e4,0.6294,dtwr4j,0.6294,vtn2e4,True
423400827,f4nehr,0.605,d3zig2,0.595,cuf87d,0.579,eyn295,0.5737,d3f5ez,0.569,cuf87d,True
308538397,v7l71b,0.6265,dk3paa,0.5723,f52owd,0.553,dz620u,0.5386,hk7g50,0.534,v7l71b,True
273527693,olu7hc,0.6904,exm4ly,0.665,cgdhen,0.6562,duvgd7,0.6553,d3zig2,0.6475,d3zig2,True
28544155,dt81b5,0.6333,r6m3p5,0.6187,bz1fvy,0.611,yu2odn,0.61,xr7u9l,0.604,yu2odn,True
355098307,xj66sb,0.6426,e5mjc2,0.621,nkfqdj,0.563,kihr6d,0.549,cnuk4y,0.545,xj66sb,True
513460359,nfantr,0.6553,or3rj4,0.651,kh0r05,0.6436,rmglcn,0.643,jwrn1q,0.642,or3rj4,True
23148921,mw4ai7,0.7334,cp0c35,0.6436,d5tdz1,0.6416,gffoey,0.633,v85x99,0.6143,mw4ai7,True
348339865,u66ujo,0.65,l47dr5,0.6475,d9p8bq,0.638,brada2,0.634,vwxmgf,0.629,d9p8bq,True
302231990,mrw481,0.621,dg24fd,0.617,dzh8tx,0.5938,violcv,0.5864,moflqj,0.576,violcv,True
22096141,euj9ji,0.643,nsbawj,0.5757,kexo9e,0.5757,m92cos,0.5713,gzblip,0.542,m92cos,True
291901195,rsghny,0.555,jem7b9,0.5347,bq5m14,0.52,hyv5vy,0.508,dm5yle,0.506,rsghny,True
61677740,p0ev49,0.6606,hhfiz5,0.6406,zx4q56,0.637,n133vk,0.6333,eipasj,0.631,hhfiz5,True
364913275,cajf8a,0.7744,ehatwy,0.676,bygwuq,0.628,ddrpwb,0.619,tgelk9,0.591,cajf8a,True
427355606,bk90gs,0.6016,xwrw5y,0.592,fdw8ae,0.582,vd0hq2,0.566,de3lgp,0.5654,bk90gs,True
430561258,hftb12,0.6123,ta97tu,0.5996,eoxoh2,0.5884,btn3sr,0.572,sqo4vk,0.5693,hftb12,True
311885002,qv7b6a,0.629,ka9rjt,0.61,k6yuc4,0.582,fwk4wp,0.5786,dzaeed,0.5776,qv7b6a,True
493133002,mnghsl,0.6724,bq91fr,0.6445,lckr2y,0.625,buy4lh,0.6226,mrverj,0.62,mnghsl,True
414935975,r8pxes,0.589,mrsl3i,0.5483,jlze6u,0.5405,qaz613,0.5396,lkz7mz,0.5376,r8pxes,True
48916858,f83nm0,0.69,uqlayz,0.6504,q0zzhh,0.6216,ob94gc,0.6187,10nygeo,0.6104,f83nm0,True
20381470,10wstun,0.644,gzvvwn,0.6167,od4diw,0.615,ummf7q,0.6123,cljs97,0.612,10wstun,True
303208441,dec9lz,0.6035,vfhbi2,0.5874,errmws,0.584,ip0qja,0.5815,dfuqt3,0.5806,dec9lz,True
339964594,jbhqqw,0.657,r4xn4l,0.656,hm5wg2,0.651,pb7u6e,0.65,dm5052,0.642,hm5wg2,True
27144680,u3kod5,0.689,11xcv61,0.6714,c5hdbz,0.666,qgqzxy,0.6514,k00c9x,0.647,qgqzxy,True
547383320,dxymsk,0.6304,d7m9fi,0.6294,iaqd6c,0.6284,fet3tu,0.625,e5m5og,0.6235,e5m5og,True
379546454,g33mcz,0.742,hl216a,0.6235,fnr7kf,0.6226,h0ifiv,0.605,kfopmy,0.6,fnr7kf,True
367615143,gmvolh,0.657,bp37s9,0.634,l18iwi,0.6323,nrumm1,0.628,10l1dv1,0.608,l18iwi,True
21252039,ga8zzl,0.6055,vso2s2,0.5806,xp76vr,0.5693,g33mcz,0.5684,e08ru0,0.56,vso2s2,True
19944223,i6w8p1,0.6426,n4b2uf,0.6143,puoc48,0.595,egzjyw,0.595,joyzf9,0.595,joyzf9,True
365436408,i5i74s,0.6265,e5r4dp,0.612,drmhbm,0.612,f0fxtv,0.606,e07glp,0.5923,i5i74s,True
19629949,mzypbr,0.7163,d3dar1,0.666,ebhe7h,0.6606,q22kjk,0.6577,bzy909,0.6533,q22kjk,True
19832556,qaz613,0.657,e4lwsn,0.6167,ffob5z,0.569,t389ms,0.549,h8rl5i,0.542,e4lwsn,True
28306797,hkdfb4,0.61,f4kfb6,0.5903,fw6uc0,0.5356,cw2p9z,0.5327,pff5kc,0.531,hkdfb4,True
368419786,fnpvgh,0.66,fa914q,0.636,fs8n4n,0.609,g8lhgy,0.6064,i0qdmb,0.604,fa914q,True
470479513,lv8673,0.5996,fc6w00,0.5845,ckhv4e,0.5806,vmitwi,0.5747,dctax6,0.573,lv8673,True
419993830,yzqq0s,0.679,z2a9ce,0.6475,d9rz64,0.6455,qj0fu7,0.6323,exjei5,0.628,qj0fu7,True
457474857,c7s80t,0.591,d8dwac,0.587,103f0z4,0.5776,jt2oru,0.569,gsgqn0,0.5684,d8dwac,True
466450322,de57xu,0.6206,w7xm53,0.6177,dt0x46,0.613,cmfb95,0.603,dp5rag,0.5977,cmfb95,True
32078683,11o1s9s,0.595,tdmbpn,0.5947,nlpejw,0.59,nwj2ug,0.575,ey2sr0,0.574,tdmbpn,True
307318233,d37vbe,0.643,127s4hr,0.6313,qfw8gp,0.616,cwx4cm,0.6084,k8fm78,0.607,127s4hr,True
373615082,wn9n7i,0.6714,mzypbr,0.5386,daa5h8,0.535,ca9zau,0.533,c9h157,0.5327,wn9n7i,True
367420401,jhf1px,0.646,ijs71e,0.62,p0o819,0.607,ex16mo,0.6055,eld5pi,0.603,jhf1px,True
466192252,duxz2a,0.7026,mkpmfm,0.6953,gd0xcl,0.683,v1r11c,0.6655,110d6kr,0.664,duxz2a,True
506887818,hr4mpl,0.6353,wf1xpl,0.621,msy50s,0.618,cubdgb,0.6113,cf8ovh,0.6055,msy50s,True
48483977,dxvn09,0.535,fdxafk,0.528,emaozv,0.5225,erbnij,0.5205,g8lhgy,0.5137,dxvn09,True
478211388,jusxs9,0.6123,gb9r6r,0.6035,dxpzlg,0.599,kgvle6,0.5874,ooqhmk,0.579,dxpzlg,True
25724285,ko7i19,0.589,lrvvp1,0.5825,u6wopi,0.5815,hx82cz,0.58,hzumd6,0.5728,u6wopi,True
30218285,ooc46t,0.6167,fn8cpn,0.6074,fu35e8,0.6006,xdxlr8,0.583,dzaeed,0.5728,xdxlr8,True
406554682,qkjps5,0.6226,en8zqt,0.5996,nudikq,0.5796,q553pi,0.5728,pc6nn0,0.571,qkjps5,True
23732327,ff6e96,0.6035,l6ujq2,0.5796,fb0r7t,0.5767,cbzij4,0.5635,ip0qja,0.5615,cbzij4,True
397800464,de79rc,0.5127,ddv4rk,0.504,ediz50,0.4993,de9l3x,0.4985,dkxmrp,0.4963,ediz50,True
20172593,gffoey,0.768,e1sxhm,0.6914,p48pj0,0.686,cc7npd,0.685,gz4frq,0.678,gz4frq,True
352930317,ve8ftl,0.653,118ab6l,0.635,f310u8,0.6323,nzgcjh,0.626,jh79np,0.6235,118ab6l,True
23256245,q4c2v8,0.5938,116zx9d,0.5635,dgrnip,0.558,wrua3l,0.5527,crtzdt,0.548,q4c2v8,True
275044220,gj7rvc,0.663,lsekma,0.6377,bw7utd,0.6045,d1xj5d,0.6035,gzfzy2,0.602,gj7rvc,True
410847010,c4d2la,0.6064,tdggqz,0.5757,pwbq7j,0.561,nd3ebw,0.557,ogqp89,0.555,c4d2la,True
24361206,ptk33m,0.64,jh79np,0.585,dc3ufn,0.5728,pmhwf7,0.5703,hn6ydt,0.56,ptk33m,True
23402587,g33mcz,0.8,hl216a,0.73,n82oqy,0.6626,w0wuuc,0.6416,irugt4,0.632,g33mcz,True
19905845,el47w3,0.805,ic5fwb,0.737,ctmy7u,0.712,n25wn2,0.698,dytf7g,0.657,el47w3,True
33309431,lj2nrx,0.6484,pes0lq,0.647,nbxl4o,0.634,yfjn4v,0.6313,wewm50,0.6226,nbxl4o,True
363975920,br426u,0.62,opu876,0.6157,g79xfn,0.584,te2yw1,0.5703,iz2bra,0.5703,opu876,True
22001807,110069q,0.7007,eipasj,0.686,caayv9,0.646,wxm7s8,0.6387,n133vk,0.6245,110069q,True
27996727,l47dr5,0.667,euyap8,0.666,pr5z1s,0.659,wz0qxo,0.6504,qz2vd5,0.649,euyap8,True
20680216,wa403j,0.57,cpyv7v,0.56,de3lgp,0.5566,ebahr9,0.555,fgnzj1,0.5547,wa403j,True
429786632,xcvhpo,0.6597,dk7pcg,0.63,bzl2ue,0.6235,ekzbn6,0.619,hjyzpt,0.6123,dk7pcg,True
540621480,qa8bk4,0.5996,p3g8y7,0.5986,bocw87,0.5977,kxrq38,0.5977,kgxn3h,0.5957,p3g8y7,True
27987054,irugt4,0.6396,gcqqwc,0.6113,krsbe6,0.6084,hl216a,0.602,te8839,0.589,irugt4,True
292745625,nfantr,0.5723,r26oev,0.5693,ej5xl5,0.5537,rqssfs,0.5483,kh0r05,0.5454,ej5xl5,True
570491570,dw0hr0,0.6934,dslalu,0.6426,xl7ycb,0.6196,dn68yv,0.6157,hw7c9j,0.6147,dw0hr0,True
36788114,cq3l02,0.5674,uuzv7n,0.5513,fci55m,0.5464,srhyi6,0.545,ddhch3,0.535,cq3l02,True
264238848,lqtgy5,0.6377,ldzjfk,0.629,u7kzux,0.613,kiun7m,0.596,fvtugf,0.5938,ldzjfk,True
361885081,d6ilc6,0.6255,mmf5gv,0.5864,c73z8u,0.581,ebisgp,0.579,blbw7k,0.577,mmf5gv,True
41330437,jw1vvf,0.7197,gffoey,0.681,cybnyh,0.6567,c1j7p2,0.651,illbsm,0.65,jw1vvf,True
339588258,ttw6na,0.6475,fgdouf,0.6343,f1u7ge,0.628,ddarbz,0.628,yae97u,0.6123,f1u7ge,True
381469349,dlvuzn,0.605,fgr33h,0.5996,jzvtr1,0.5977,bmss5j,0.597,ck2ghq,0.5923,fgr33h,True
290241887,mzypbr,0.67,d3dar1,0.63,urow2h,0.6167,bzy909,0.615,s28erp,0.6143,bzy909,True
330888505,ffkpe4,0.601,ka9rjt,0.601,by91u4,0.5938,g5cafr,0.589,bmoi1e,0.5874,by91u4,True
47521259,1142cun,0.561,jfqszo,0.557,z5s6c6,0.5537,g5j1y4,0.5537,ebxz3u,0.5366,1142cun,True
533321132,cqlo7k,0.6377,jh79np,0.624,dizzq5,0.62,ep4cxg,0.619,11i3fle,0.6157,dizzq5,True
301753996,bmfswq,0.6016,ntb58o,0.5938,hqyjz6,0.5938,qm7xqi,0.5903,dir9kk,0.587,hqyjz6,True
19814579,kyvdt3,0.6577,ft7q8m,0.5786,km24me,0.5728,cb8dhr,0.5566,uy3vhc,0.539,km24me,True
37822005,fn8cpn,0.582,ooc46t,0.5386,hten8k,0.533,wtgeia,0.52,groalj,0.5083,ooc46t,True
344910851,tki899,0.61,n3k9n8,0.6025,vnfa4k,0.6,ka9rjt,0.593,dslalu,0.593,n3k9n8,True
24374457,dzaeed,0.663,g23cgw,0.643,fd7q8b,0.637,del334,0.633,g26mo4,0.631,g26mo4,True
285236279,gyw1tu,0.681,rg06gj,0.6807,mqdlit,0.6777,nsbawj,0.674,hgr2d2,0.6646,nsbawj,True
19553674,ew53xx,0.4746,e4s7sa,0.4734,r3bi90,0.4565,eqozlh,0.451,g5vdcg,0.4507,e4s7sa,True
21479797,k6yuc4,0.64,dzaeed,0.6255,dslalu,0.6177,cgdhen,0.607,v6xt9k,0.5986,v6xt9k,True
41198536,bwitv1,0.6846,fxggby,0.676,pl71e4,0.676,pgpqy8,0.6685,10tucw9,0.666,fxggby,True
280143102,dgfgf8,0.5903,sflq7c,0.582,xcix2f,0.5728,11g4sut,0.57,groalj,0.568,dgfgf8,True
283978251,gxjcpm,0.6377,bqy32o,0.619,cyc7ix,0.6143,hv1po3,0.603,nolk1x,0.599,hv1po3,True
424948262,cnxmfi,0.649,k67le9,0.6445,s7hws2,0.6426,cwx4cm,0.6294,dptw19,0.626,cnxmfi,True
25313527,gpyqg4,0.659,u7te9f,0.6587,ttw6na,0.6533,w4bvcn,0.6387,shrbid,0.6387,shrbid,True
35331188,cd7dgz,0.6426,s3q28i,0.5757,oi2dq7,0.5513,ooqhmk,0.5396,uhjw79,0.5376,cd7dgz,True
577210558,ffsnus,0.6353,etkys5,0.627,fd1c25,0.6226,cqufgs,0.62,10b7tmc,0.62,etkys5,True
20035184,ko7i19,0.655,c9o7jp,0.6,d4ph8d,0.5796,emaozv,0.578,bup0f6,0.5723,bup0f6,True
390393369,p74o2p,0.6587,tvf2iy,0.6406,krg0zk,0.6284,ndudrf,0.6245,je0r6n,0.619,p74o2p,True
463117581,ihv6fp,0.643,cqlo7k,0.6396,jc5sev,0.633,h8f3od,0.6016,fejbrk,0.591,jc5sev,True
424233430,gn7s76,0.6094,gp1a90,0.6055,dn3k54,0.598,qv7x5z,0.597,bvi1oa,0.596,qv7x5z,True
455621399,fp8f3v,0.611,ckwgxf,0.605,uadj59,0.587,l52d3q,0.5635,u35xyk,0.56,ckwgxf,True
20082759,uhdlo9,0.7324,ttw6na,0.731,gpyqg4,0.7046,nv66u3,0.6714,t7nr4x,0.668,nv66u3,True
27574436,defjio,0.627,ca9ixw,0.6245,hek9pf,0.605,l07jhb,0.585,dfnxgn,0.5767,ca9ixw,True
31443901,g9ycrw,0.6157,siiqih,0.6133,cmk2v6,0.603,ugfesi,0.591,t7kxvs,0.591,g9ycrw,True
591349209,fuo3hm,0.656,l328yb,0.628,cljs97,0.626,mgxonb,0.6143,re5qk5,0.6094,fuo3hm,True
596417369,dpzmlx,0.7144,n7rue1,0.6963,bywhpp,0.696,n93x2w,0.6953,ip0qja,0.682,bywhpp,True
446808793,ljfqds,0.6763,cjyvz8,0.673,co9pvf,0.663,ffsnus,0.655,cqufgs,0.6475,ljfqds,True
27300941,ez26ag,0.6567,eexm66,0.651,de5qjq,0.6455,fkgj3a,0.6357,faiq0j,0.625,fkgj3a,True
442540345,hd74dc,0.5864,ibgkg8,0.581,rmis7g,0.564,wal19j,0.5635,c267cj,0.561,hd74dc,True
320572797,f0gi88,0.621,uguv0b,0.6147,qfw8gp,0.614,zbe9la,0.613,eef18m,0.61,uguv0b,True
327635458,z8ai5x,0.6665,qbtmfs,0.6562,ri05xo,0.6313,xnuvg1,0.6245,m065os,0.6226,ri05xo,True
383168818,qsl4n8,0.749,zhhs3x,0.6553,pzed51,0.6523,wtgeia,0.647,10idlot,0.6343,10idlot,True
449054818,nuzyht,0.6206,fu2fiq,0.6064,dxgwaf,0.57,ooqhmk,0.5674,c8epbl,0.5557,nuzyht,True
27709931,i9lrt2,0.5024,c871t3,0.4521,i2crpu,0.439,uhxfa3,0.4324,l5a2oh,0.4321,l5a2oh,True
424305996,clgw93,0.634,ediqcx,0.6113,kl7gyt,0.608,vmitwi,0.604,boy72b,0.6035,clgw93,True
327998889,11gh0jd,0.618,g23hne,0.617,n4b2uf,0.609,ep1mpn,0.606,unam7f,0.598,11gh0jd,True
19559029,nfantr,0.6035,buotdl,0.5947,xp76vr,0.589,gs1geh,0.5815,kh0r05,0.573,nfantr,True
576780530,e0zqdp,0.617,cjyvz8,0.6133,nwj2ug,0.6,co9pvf,0.5986,fe4mdt,0.593,cjyvz8,True
379862683,dseebq,0.674,nd3ebw,0.656,cfeuub,0.629,ngfwgj,0.6226,w1dx6s,0.6147,dseebq,True
326846161,dfnxgn,0.6133,iltq1m,0.603,c0em6n,0.597,mv5ln8,0.595,s3q28i,0.593,mv5ln8,True
459847142,cljs97,0.6807,gkq4gj,0.664,ni6nfg,0.633,104i3ue,0.62,mqqk6d,0.619,104i3ue,True
28891387,dmzez9,0.6294,drhfon,0.6167,rqssfs,0.6055,gs1geh,0.5845,n3vaki,0.5815,gs1geh,True
550171539,q4kyw5,0.6167,riy857,0.597,u0h880,0.5786,t5i315,0.5776,gnk06g,0.573,riy857,True
321021670,irfek3,0.6646,z3nnns,0.6587,p0o819,0.6553,dkq7dq,0.65,ny2icd,0.649,irfek3,True
39948467,k6yuc4,0.651,cocp4s,0.648,dzaeed,0.627,nwj2ug,0.6245,umcrmj,0.6206,cocp4s,True
312034501,ex16mo,0.6987,p0o819,0.6777,bntgmi,0.6523,tjp62f,0.6484,jdhxse,0.6475,jdhxse,True
26898606,cczccy,0.6616,hzwvrt,0.652,dslalu,0.643,vh8oml,0.634,g768v5,0.6245,g768v5,True
460406211,sul263,0.7295,ey2sr0,0.692,ck2ghq,0.685,vh8oml,0.668,zzql3n,0.6606,zzql3n,True
28460700,qfw8gp,0.685,pkyshe,0.651,fpo9zr,0.649,ckah0v,0.645,xsblhz,0.6445,ckah0v,True
344170170,ci494l,0.6094,clxp3e,0.5845,mnp453,0.581,cveauy,0.58,diccs0,0.5747,ci494l,True
397348218,g8lhgy,0.602,bytmlm,0.534,en5ens,0.5337,nl5qak,0.519,hten8k,0.513,en5ens,True
68080076,f8yv7h,0.5903,czuw7n,0.541,dnut0e,0.5254,h8nirm,0.523,gxjgoc,0.522,f8yv7h,True
30668283,i50plu,0.5537,sz28uy,0.545,lv714p,0.5425,mrverj,0.5396,m77uju,0.539,mrverj,True
264353143,owo67a,0.6143,q8hatz,0.6055,m3s3qi,0.5884,egr7ie,0.5786,ibzf2n,0.5684,owo67a,True
63868497,cubdgb,0.61,l6ongj,0.598,dep9c6,0.5728,wf1xpl,0.551,fb63zy,0.5464,l6ongj,True
443935463,lb9tvg,0.618,h0ifiv,0.61,ea8wne,0.604,cubdgb,0.6016,gm7fp5,0.6016,lb9tvg,True
456085094,ideblx,0.516,yf6j25,0.4995,gsxyu5,0.4993,jdxbqd,0.498,il86cz,0.4927,jdxbqd,True
28345918,k05r3o,0.5776,cw2p9z,0.543,dxruvn,0.541,vpfhl3,0.54,hqz02d,0.5244,k05r3o,True
349189682,eltnja,0.6133,ed2kz5,0.603,oehmck,0.601,f6mr9j,0.5923,nalh69,0.592,f6mr9j,True
337314780,mbumi9,0.526,h8pt8z,0.525,wojfm4,0.5195,11bvkad,0.511,11p0ve6,0.505,11bvkad,True
334696130,dm0ktc,0.7183,d67te3,0.6655,qhdb9h,0.6636,123xy63,0.659,n5wdip,0.6514,dm0ktc,True
20059452,102rkxb,0.657,dkaat0,0.6094,ip8ihp,0.5938,hw5dyd,0.593,hiu7ta,0.586,102rkxb,True
314142047,llyjut,0.6313,jh79np,0.63,emc9bk,0.625,cp6dj6,0.625,ex1t5w,0.6133,emc9bk,True
20220820,g6epyz,0.604,csrovt,0.5693,d0b082,0.565,gnh325,0.5474,elam1o,0.539,d0b082,True
462306025,qsl4n8,0.758,zhhs3x,0.7,n4b2uf,0.67,117pjwv,0.667,jwg2kn,0.656,zhhs3x,True
27307146,df21bl,0.643,wy0sl4,0.5615,c5efgk,0.5586,fq9n42,0.556,yfbkl0,0.5547,df21bl,True
